held_out,arm,target,pds
k562,common,IFNGR2,0.6014760147601477
k562,common,IL10RB,0.5793357933579335
k562,common,IREB2,0.24354243542435428
k562,common,KDM5A,0.7380073800738007
k562,common,KHDRBS1,0.3653136531365314
k562,common,KHSRP,0.8007380073800738
k562,common,KIF2A,0.33579335793357934
k562,common,KMT2A,0.6863468634686347
k562,common,LDLR,0.6383763837638377
k562,common,LENG1,0.19188191881918815
k562,common,LMAN1,0.08487084870848705
k562,common,LMBRD2,0.7343173431734318
k562,common,LPCAT3,0.2583025830258303
k562,common,MAN2A1,0.31734317343173435
k562,common,MAP2K2,0.2398523985239852
k562,common,MAPK12,0.5239852398523985
k562,common,MARCKSL1,0.059040590405904037
k562,common,MBD4,0.19926199261992616
k562,common,MED13,0.981549815498155
k562,common,MED15,0.6974169741697417
k562,common,MED25,0.5830258302583026
k562,common,MLLT10,0.46125461254612543
k562,common,MSANTD4,0.8819188191881919
k562,common,MSI2,0.7564575645756457
k562,common,MTA1,0.011070110701106972
k562,common,MTF1,0.2693726937269373
k562,common,MTHFSD,0.4206642066420664
k562,common,MTM1,0.20295202952029523
k562,common,MYD88,0.1070110701107011
k562,common,MYPOP,0.8228782287822878
k562,common,MYRF,0.1955719557195572
k562,common,NABP2,0.0
k562,common,NAIF1,0.7527675276752768
k562,common,NCLN,0.6826568265682658
k562,common,NFE2L1,0.09225092250922506
k562,common,NGLY1,0.966789667896679
k562,common,NIPAL3,0.4022140221402214
k562,common,NIPSNAP3A,0.48708487084870844
k562,common,NT5DC1,0.4280442804428044
k562,common,NUP37,0.05166051660516602
k562,common,PAN2,0.2767527675276753
k562,common,PAPOLA,0.992619926199262
k562,common,PATL1,0.9225092250922509
k562,common,PCGF1,0.17712177121771222
k562,common,PCGF6,0.5313653136531366
k562,common,PDCD4,0.8154981549815499
k562,common,PDE6D,0.09963099630996308
k562,common,PDK1,0.5461254612546125
k562,common,PGLS,0.047970479704797064
k562,common,PHF19,0.3505535055350554
k562,common,PHF23,0.4833948339483395
k562,common,PHF8,0.8413284132841329
k562,common,PI4KB,0.06642066420664205
k562,common,PIM2,0.6051660516605166
k562,common,PIN1,0.16236162361623618
k562,common,PINK1,0.41328413284132837
k562,common,PKN3,0.8597785977859779
k562,common,PLAGL2,0.5608856088560885
k562,common,PLCG1,0.12915129151291516
k562,common,PNP,0.20664206642066418
k562,common,POLD4,0.996309963099631
k562,common,POR,0.3579335793357934
k562,common,PPIF,0.7047970479704797
k562,common,PPIP5K2,0.8929889298892989
k562,common,PQBP1,0.9704797047970479
k562,common,PRDX3,0.03690036900369009
k562,common,PRKAB2,0.47601476014760147
k562,common,PRKACA,0.9040590405904059
k562,common,PRMT2,0.4981549815498155
k562,common,PRMT6,0.8339483394833949
k562,common,PRMT7,0.6309963099630996
k562,common,PRNP,0.36900369003690037
k562,common,PSKH1,0.29151291512915134
k562,common,PTMS,0.4391143911439115
k562,common,PTOV1,0.6125461254612545
k562,common,PYCR1,0.5682656826568266
k562,common,R3HCC1L,0.7416974169741697
k562,common,RAB5A,0.05535055350553508
k562,common,RABEP2,0.022140221402214055
k562,common,RBM18,0.8487084870848709
k562,common,RBM26,0.8118081180811808
k562,common,RBM4B,0.5018450184501845
k562,common,RBM5,0.7822878228782288
k562,common,RC3H2,0.5092250922509225
k562,common,REV1,0.6346863468634687
k562,common,RFK,0.9520295202952029
k562,common,RNF10,0.1439114391143912
k562,common,RNF141,0.3321033210332104
k562,common,RNF2,0.6273062730627306
k562,common,RSRC1,0.36162361623616235
